,text_clean,sentiment
0,done better perfect sheryl sandberg quot motiv justdoit,positive
1,shout great fire depart tour 👨‍🚒👨‍🚒 much love nyc 💯🎥🔥✊🏿 hero fdni likesforlik promo music instagood instadaili postoftheday bestoftheday justdoit nike picoftheday,positive
2,amazingli hilari nike ad meme happen newsfe soo decid get littl creativ justdoit yourmorn yourmemecollect 🍪😂,negative
3,kapernickeffect swoosh justdoit luca bishop cigar loung,neutral
4,one hand one dream shaquem griffin stori shaquem nfl seattl seahawk griffin justdoit nike,neutral
5,time stock new run apparel nike justdoit,neutral
6,trump protect elect think registertovot vote justdoit,neutral
7,good job shake whole world see million million dollar worth free advertis justdoit,positive
8,great way meet good peopl wear nike gear in park thank justdoit takeakne takeakneeinnik,positive
9,lead trade succeed icm pleas retweet fx feelgoodfriday fridayfeel tradermoni justdoit fridaymotiv,neutral
10,favorit far justdoit,positive
11,colin kaepernick busi partner send million dollar group target black live gruesom death domest abroad nikeboycott justdoit,neutral
12,cat lion justdoit emopo,positive
13,think histori judg treatment come side decid lead justdoit,positive
14,go ahead justdoit spartacassjr,neutral
15,cat lion justdoit,neutral
16,social like justdoit ya know like work stuff mean come it’ like greatest thing ever mean like duh 🤔🙄😳 truth kaga kag maga fakenew,positive
17,hey stood countri serv nation flag enthus kneel stood someth gave everyth want impress hire real man ad hire marin not bitchi millionair gave noth justdoit,positive
18,i’v seen lot meme justdoit but particular one struck haunt speak far left go undermin amp true american patriot let’ job help voteredtosaveamerica voter,negative
19,abort stop beat heart imagin live save get kavanaugh court democrat eager confirm sake children justdoit,negative
20,favorit nike commerci ever justdoit,positive
21,model runway cloth it’ daili way life exampl step door room happi friday nike kaepernick justdoit fridayfeel fridaymotiv,positive
22,never broke shop favourit fashion brand discountsday justdoit,neutral
23,kinda ladi justdoit nike,negative
24,dream big amp justdoit,positive
25,hey go check video it’ lot fun cute newyoutub relationshipgo justdoit click link subscrib,positive
26,nike got million free press in hour justdoit campaign pay put ball line,neutral
27,think “let’ use talent footbal star who’ blackbal asshol nfl owner take stand optim ad’ reach minim dollars” geniu move nike free public market dream nikestrong justdoit teamnik imwithkap,neutral
28,stole goddamn hous justdoit juststealit,negative
29,skip leg day legday justdoit flexfriday berkhansay,neutral
30,believ in someth even mean sacrif everyth nike chosen bold word justdoit campaign but exactli sacrific mean multi billion dollar corpor brand revolut ✔️,negative
31,yall tayson like dat justdoit nike photooftheday internewin mike tyson tyson,neutral
32,missamerica flashbackfriday jobsreport nike got justdoit fema campaign tvgh spiderman kaepernicknikead slaveryremembranceday mudasuksesmenang fridayfeel nationalbeerloversday love eminemvsmgk na vs keli kany indraketujuhep,positive
33,shoe train in wear nike bruin back futur wed hell yeah nike justdoit,positive
34,mindset justdoit,neutral
35,donat nike in great codit mani bare worn homeless veteran buy new one self justdoit,positive
36,ye justdoit,positive
37,it’ clear amp kim “respect” much donaldlovesdict takeakne colinkaepernick nike justdoit fightfasc,positive
38,nike meme justdoit justtryit cafecitoenergi energi,neutral
39,justdoit anoth potenti spokesperson nike former cowboy rb joseph randl arrest charg rape,neutral
40,left store greatlakescross even like nike like but cultur yall take care rena kap support forthecultur nike justdoit bringit,negative
41,boom manncup readi hour justdoit westcoastbestcoast flyy,neutral
42,lebron look eye lebron nike justdoit,positive
43,sun new moon in virgo sunday i’m commenc exercis regimen compliment dietari regimen goal justdoit,neutral
44,mr iq alon mitchmcconnel gop meet see destroy presobama kaepernick justdoit,neutral
45,world world flat kyri lebron back back i’v known sinc grade school can’t believ even rhyme i’m fool lebron lebronjam nike kyri kapernick justdoit sneaker,negative
46,got new run shoe week justdoit justdoit standforsometh takethekne,positive
47,pure gold larri elder overheard ii return pair nike shoe yesterday refund clerk ask wrong told hurt feet stood nation anthem justdoit istandforamerica,negative
48,work hard limitless focu goal respect thing success justdoit,negative
49,new season esg note kick today today esg note se nike blow mind inequ hot exit therano ocean bond invest strategi sustain impinv susti sdg justdoit therano thelongswim fridayread,positive
50,invest in mojo justdoit,neutral
51,don’t express wish buri death best believ you’r get cremat launch shoulder fire rocket launcher loveislov justdoit showerthought,positive
52,gotta get made justdoit,neutral
53,don’t ask dream crazi ask they’r crazi enough justdoit,negative
54,creat nike colin kaepernick meme free templat nike colinkaepernick justdoit,positive
55,justdoit vote amp oust mcgovern,positive
56,colin kneel kneel even ride in car grandmoth look timid urkel without get profil polic crimin hear despair in voic imwithkap justdoit,negative
57,sound like plan justdoit firstamend,neutral
58,justdoit nike took knee kaepernick outrag ensu surpris,neutral
59,trumptrash justdoit nike nfl nikekap,neutral
60,doin friyay believeinsometh colinkaepernick justdoit friyay nike nyhq,neutral
61,check septemb th facebook live sharp justdoit see freebi four easi techniqu keep calm nurs thank,positive
62,ever feel like justdoit✔,negative
63,save save justdoit 🌚🐾‼️,negative
64,thank kap justdoit nike unit not allow djt divid us bluewav,negative
65,right side histori love believeinyourself justdoit equalityforal compassionforal,positive
66,friday mood justdoit,neutral
67,god bless presid trump 👍👍🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸 justdoit justdontdoit trump redwav,positive
68,✔️ justdoit nike meme jesu viral market nbc cnn colinkaepernick kaepernick nikejustdoit footbal believ listen nikesho believeinsomething…,neutral
69,use platform draw media attent awar issu nike know custom justdoit nike,negative
70,nike justdoit takeakne say make glad servic not simpli empir show least one american ethic free amp moral courag enough protest injustic forefath rest seem forgotten,negative
71,believ in thrillbil even mean sacrif plan nike justdoit justthrillbil djthrillbil charlit thecoolestdjintheworld thrillbillionair qcdjs…,negative
72,three word made differ justdoit,neutral
73,great remind thing may come wait thing left hustl less “into thought” “into action” justdoit,positive
74,knew come justdoit hehe michaeljackson heheintothewind,positive
75,align core valu younger gener celebr athlet beyond sport believ in someth thoughtwear justdoit diplomaci,neutral
76,you’v gotta work make thing work justdoit,neutral
77,look journey ahead need keep watch this😰 justdoit,neutral
78,ask dream crazi ask dream crazi enough nike ad justdoit crazyenough believeinsometh,negative
79,nike like fli shit justdoit,negative
80,nike sunday justdoit tanger outlet grand rapid,positive
81,own yet lib nike justdoit,neutral
82,stand someth even mean sacrifas everyth justdoit,negative
83,we’r talkin’ maga qanon justdoit justblewit therainmak fridayfeei,neutral
84,run maddi run trackstar 🏃🏾‍♀️ justdoit,negative
85,splendidlov nike th anniversari justdoit ad campaign colin kaepernick,neutral
86,it’ possibl critic nike not pay worker decent wage appreci nike’ ad featur karpernick justdoit,negative
87,slave owner privat prison use black men women polit financi piec gain but peopl mad nike put money in kaepernick pocket give world platform messag racial injustic nike justdoit kaepernick takeakne,negative
88,fuck lol nike colinkaepernick kaepernick america nfl justdoit justdoit✔️ steviewond,negative
89,nike took calcul risk advertis justdoit nike,neutral
90,justdoit nike collinkaepernick blackpow thugpun,neutral
91,no one safe 😂😂 justdoit,negative
92,nike piss work ahahahahahahaaha justdoit ✔️✔️✔️✔️✔️✔️✔️✔️✔️✔️,negative
93,get hype weekend justdoit nike junta impar,positive
94,justdoit,neutral
95,nativ kill got singin star spangl spiel piec cloth repres land free made peopl slave build eminem reviv nike colinkaepernick justdoit istandwithkaep,positive
96,place analyz custom demograph justdoit,negative
97,love nike justdoit,positive
98,ask dream crazi ask crazi enough bring realiti justdoit,negative
99,protest not lead progess protest alon amp will stand strong one effort continu rise peopl want see fall histori kapernick justdoit beyou livelaughlov smile,negative
100,want watson team imagin competit edg in busi world watson team lot green justdoit moremoney lessproblem ai watson,neutral
101,new dri golf short full pocket in front back iaminlov nike com colinkaepernick justdoit nikeboycott nikead nike,positive
102,thinbluelin far import asinin justdoit campaign,negative
103,met new friend in park morn great way meet good peopl wear nike gear thank justdoit takeakne,positive
104,sen booker know may not read twitter i’m sure blow time but it’ men women like continu give american hope never give fight fight million peopl justdoit,negative
105,listen bp rees discuss nike colinkaepernick justdoit campaign commerc activ coexist,neutral
