,predicted,actual
0,neutral,positive
1,positive,positive
2,neutral,neutral
3,negative,negative
4,negative,neutral
5,positive,positive
6,neutral,neutral
7,neutral,positive
8,neutral,positive
9,neutral,neutral
10,negative,positive
11,neutral,neutral
12,neutral,negative
13,neutral,positive
14,positive,negative
15,neutral,positive
16,positive,negative
17,neutral,positive
18,neutral,positive
19,positive,positive
20,positive,positive
21,neutral,neutral
22,neutral,positive
23,positive,positive
24,negative,neutral
25,neutral,positive
26,positive,positive
27,neutral,negative
28,positive,positive
29,positive,positive
30,neutral,neutral
31,neutral,negative
32,neutral,positive
33,positive,negative
34,neutral,neutral
35,neutral,neutral
36,neutral,neutral
37,neutral,negative
38,positive,positive
39,neutral,neutral
40,negative,positive
41,neutral,negative
42,neutral,neutral
43,neutral,negative
44,negative,negative
45,neutral,neutral
46,positive,neutral
47,positive,neutral
48,neutral,negative
49,negative,negative
50,neutral,neutral
51,negative,negative
52,positive,positive
53,neutral,neutral
54,neutral,positive
55,neutral,positive
56,neutral,negative
57,positive,positive
58,neutral,neutral
59,positive,neutral
60,neutral,positive
61,neutral,positive
62,positive,neutral
63,neutral,positive
64,positive,positive
65,positive,positive
66,neutral,positive
67,neutral,negative
68,positive,positive
69,positive,positive
70,positive,neutral
71,negative,positive
72,neutral,neutral
73,neutral,neutral
74,positive,positive
75,neutral,positive
76,positive,positive
77,negative,negative
78,neutral,neutral
79,neutral,negative
80,neutral,negative
81,neutral,neutral
82,positive,positive
83,neutral,positive
84,neutral,neutral
85,positive,positive
86,positive,neutral
87,neutral,neutral
88,negative,neutral
89,positive,positive
90,neutral,positive
91,positive,positive
92,positive,positive
93,neutral,neutral
94,neutral,positive
95,neutral,neutral
96,positive,positive
97,positive,positive
98,positive,positive
99,neutral,neutral
100,positive,positive
101,negative,positive
102,neutral,neutral
103,positive,positive
104,neutral,negative
105,neutral,positive
106,neutral,positive
107,positive,positive
108,positive,negative
109,positive,neutral
110,neutral,neutral
111,negative,negative
112,positive,positive
113,positive,positive
114,negative,neutral
115,neutral,positive
116,neutral,neutral
117,neutral,negative
118,neutral,neutral
119,positive,neutral
120,negative,negative
121,positive,neutral
122,negative,neutral
123,positive,positive
124,positive,positive
125,neutral,negative
126,positive,neutral
127,positive,positive
128,neutral,negative
129,positive,positive
130,negative,negative
131,positive,neutral
132,neutral,positive
133,positive,positive
134,neutral,neutral
135,neutral,positive
136,positive,positive
137,neutral,neutral
138,positive,positive
139,negative,neutral
140,positive,positive
141,positive,neutral
142,neutral,neutral
143,neutral,neutral
144,neutral,negative
145,positive,positive
146,neutral,positive
147,positive,neutral
148,negative,neutral
149,neutral,neutral
150,positive,neutral
151,positive,neutral
152,negative,negative
153,neutral,neutral
154,neutral,neutral
155,neutral,neutral
156,neutral,positive
157,neutral,positive
158,neutral,neutral
159,negative,neutral
160,positive,neutral
161,neutral,positive
162,positive,positive
163,neutral,positive
164,neutral,positive
165,positive,positive
166,neutral,positive
167,positive,neutral
168,neutral,neutral
169,neutral,neutral
170,positive,neutral
171,positive,positive
172,positive,neutral
173,negative,positive
174,neutral,neutral
175,neutral,neutral
176,positive,positive
177,positive,positive
178,neutral,positive
179,positive,positive
180,positive,positive
181,neutral,neutral
182,neutral,positive
183,positive,negative
184,positive,neutral
185,positive,positive
186,positive,positive
187,positive,positive
188,positive,positive
189,positive,positive
190,neutral,neutral
191,neutral,neutral
192,positive,negative
193,neutral,neutral
194,neutral,positive
195,positive,positive
196,neutral,positive
197,negative,neutral
198,positive,neutral
199,positive,neutral
200,positive,positive
201,neutral,neutral
202,neutral,positive
203,neutral,positive
204,positive,neutral
205,positive,neutral
206,neutral,neutral
207,neutral,neutral
208,positive,neutral
209,neutral,neutral
210,negative,positive
211,positive,positive
212,neutral,positive
213,negative,positive
214,neutral,negative
215,negative,neutral
216,positive,neutral
217,positive,positive
218,positive,neutral
219,neutral,negative
220,neutral,positive
221,positive,neutral
222,positive,negative
223,positive,positive
224,positive,positive
225,positive,neutral
226,neutral,neutral
227,neutral,neutral
228,positive,neutral
229,positive,positive
230,neutral,neutral
231,positive,neutral
232,positive,positive
233,positive,neutral
234,neutral,positive
235,negative,positive
236,positive,negative
237,neutral,negative
238,positive,negative
239,positive,neutral
240,positive,positive
241,positive,positive
242,positive,positive
243,positive,neutral
244,neutral,neutral
245,neutral,neutral
246,positive,negative
247,positive,positive
248,positive,positive
249,neutral,negative
250,negative,negative
251,neutral,neutral
252,positive,neutral
253,positive,positive
254,positive,neutral
255,negative,positive
256,positive,positive
257,neutral,positive
258,positive,neutral
259,positive,positive
260,neutral,positive
261,positive,positive
262,positive,positive
263,negative,positive
264,neutral,neutral
265,positive,positive
266,neutral,neutral
267,neutral,negative
268,neutral,positive
269,neutral,positive
270,negative,negative
271,neutral,neutral
272,positive,neutral
273,neutral,positive
274,neutral,positive
275,neutral,neutral
276,neutral,negative
277,neutral,positive
278,neutral,neutral
279,negative,negative
280,positive,positive
281,neutral,neutral
282,positive,positive
283,positive,positive
284,neutral,positive
285,positive,positive
286,neutral,negative
287,positive,positive
288,neutral,neutral
289,neutral,negative
290,neutral,neutral
291,neutral,negative
292,neutral,neutral
293,positive,positive
294,neutral,positive
295,neutral,neutral
296,negative,positive
297,positive,negative
298,neutral,positive
299,neutral,neutral
300,positive,positive
301,neutral,neutral
302,positive,positive
303,neutral,neutral
304,neutral,neutral
305,negative,neutral
306,positive,negative
307,neutral,neutral
308,neutral,neutral
309,positive,positive
310,negative,neutral
311,positive,positive
312,neutral,neutral
313,positive,positive
314,neutral,neutral
315,neutral,positive
316,positive,neutral
317,neutral,positive
318,positive,neutral
319,positive,positive
320,positive,positive
321,neutral,neutral
322,positive,positive
323,neutral,positive
324,neutral,neutral
325,negative,positive
326,positive,positive
327,positive,positive
328,positive,negative
329,positive,negative
330,negative,positive
331,neutral,positive
332,positive,neutral
333,neutral,neutral
334,neutral,neutral
335,positive,positive
336,neutral,negative
337,neutral,neutral
338,neutral,neutral
339,positive,positive
340,neutral,positive
341,negative,neutral
342,positive,positive
343,negative,positive
344,positive,neutral
345,neutral,neutral
346,positive,negative
347,neutral,positive
348,positive,negative
349,positive,neutral
350,positive,positive
351,neutral,neutral
352,positive,neutral
353,neutral,neutral
354,positive,positive
355,neutral,positive
356,negative,positive
357,neutral,neutral
358,neutral,positive
359,neutral,positive
360,positive,positive
361,positive,positive
362,positive,positive
363,neutral,neutral
364,positive,positive
365,neutral,positive
366,positive,positive
367,neutral,neutral
368,neutral,positive
369,positive,neutral
370,positive,positive
371,neutral,negative
