,predicted,actual
0,positive,positive
1,positive,positive
2,neutral,neutral
3,negative,negative
4,neutral,neutral
5,positive,positive
6,neutral,neutral
7,neutral,positive
8,neutral,positive
9,neutral,neutral
10,neutral,positive
11,positive,neutral
12,neutral,negative
13,neutral,positive
14,neutral,negative
15,neutral,positive
16,negative,negative
17,neutral,positive
18,neutral,positive
19,positive,positive
20,neutral,positive
21,neutral,neutral
22,neutral,positive
23,positive,positive
24,neutral,neutral
25,neutral,positive
26,positive,positive
27,negative,negative
28,neutral,positive
29,neutral,positive
30,positive,neutral
31,neutral,negative
32,neutral,positive
33,positive,negative
34,neutral,neutral
35,neutral,neutral
36,neutral,neutral
37,positive,negative
38,neutral,positive
39,neutral,neutral
40,positive,positive
41,neutral,negative
42,neutral,neutral
43,positive,negative
44,negative,negative
45,neutral,neutral
46,neutral,neutral
47,neutral,neutral
48,neutral,negative
49,negative,negative
50,neutral,neutral
51,neutral,negative
52,neutral,positive
53,neutral,neutral
54,neutral,positive
55,positive,positive
56,neutral,negative
57,neutral,positive
58,neutral,neutral
59,neutral,neutral
60,positive,positive
61,neutral,positive
62,neutral,neutral
63,neutral,positive
64,neutral,positive
65,neutral,positive
66,neutral,positive
67,neutral,negative
68,neutral,positive
69,positive,positive
70,neutral,neutral
71,negative,positive
72,neutral,neutral
73,neutral,neutral
74,positive,positive
75,neutral,positive
76,positive,positive
77,negative,negative
78,neutral,neutral
79,neutral,negative
80,neutral,negative
81,neutral,neutral
82,positive,positive
83,neutral,positive
84,neutral,neutral
85,positive,positive
86,positive,neutral
87,neutral,neutral
88,neutral,neutral
89,neutral,positive
90,positive,positive
91,positive,positive
92,positive,positive
93,neutral,neutral
94,neutral,positive
95,neutral,neutral
96,neutral,positive
97,positive,positive
98,positive,positive
99,neutral,neutral
100,positive,positive
101,positive,positive
102,neutral,neutral
103,positive,positive
104,neutral,negative
105,positive,positive
106,positive,positive
107,positive,positive
108,positive,negative
109,neutral,neutral
110,neutral,neutral
111,neutral,negative
112,positive,positive
113,positive,positive
114,neutral,neutral
115,neutral,positive
116,neutral,neutral
117,neutral,negative
118,neutral,neutral
119,positive,neutral
120,neutral,negative
121,positive,neutral
122,neutral,neutral
123,positive,positive
124,positive,positive
125,neutral,negative
126,neutral,neutral
127,positive,positive
128,neutral,negative
129,positive,positive
130,neutral,negative
131,positive,neutral
132,neutral,positive
133,positive,positive
134,neutral,neutral
135,neutral,positive
136,negative,positive
137,positive,neutral
138,positive,positive
139,neutral,neutral
140,positive,positive
141,positive,neutral
142,neutral,neutral
143,neutral,neutral
144,negative,negative
145,positive,positive
146,positive,positive
