,text,sentiment
6316,ga by my hous hit go to chapel hill on sat emo_po,positive
6006,theo walcott is still watch rafa and johnni deal with him on saturday,negative
13033,it not that a gsp i just hate nick diaz wait for februari,negative
2182,iranian gener say iron dome deal with their missil keep talk like that and we may end up find out,negative
2670,mon amour obama tri to establish tie with the mullah url via user_ment no barack obama vote mitt romney,neutral
10405,i sat through thi whole movi just for harri and ron at christma ohlawd,neutral
11769,with j davlar main rival are team poland hope we an make it a success end to a tough week of train tomorrow,positive
6758,talk about decid where i want to go to appli to colleg and everyth about colleg stress me out,negative
1314,whi is valentin trend on the of februari not of june smh,neutral
2677,they may have a superbowl in but dalla win a superbowl not with that quarterback and owner user_ment user_ment,negative
7499,im bring the monster load of candi i just hope it get all squich,neutral
6840,appl retail chief out in overhaul san francisco appl inc ceo tim cook on monday replac the head url,neutral
605,user_ment user_ment user_ment i just watch it comeback u rememb her from the sun morn on nta emo_po,positive
10965,one of my best grader kori wa excit after hi touchdown today he did the victor url,positive
1502,livewir nadal confirm for mexican open in februari rafael nadal is set to play at the me url livewireathlet,neutral
6481,user_ment i didnt want to just pop up but yep we have chapel hill next wednesday you should come and she great ill tell her you ask,positive
11018,user_ment user_ment hmm novemb is an odd releas date if true but if it becom big enough mayb she could sing it at grammi,neutral
4968,iran us delist mko from global terrorist list in line with iran campaign oct irna secretari url,neutral
12275,user_ment serg is amaz like he actual a god the lanki sex god i saw kasabian and noel togeth in august it wa amaz,positive
3555,user_ment user_ment user_ment larri bird is rank alltim not includ lebron or kobe just sayin,neutral
10498,good morn becki thursday is go to be fantast user_ment user_ment user_ment user_ment user_ment user_ment user_ment user_ment,positive
6719,expect lightmoder rain over e visaya samar leyt have chanc of rain tonight expect fair weather tomorrow emo_po,neutral
3855,one ticket left for the user_ment game tomorrow miss the rematch of the nfc championship game against the ny giant hit me up,positive
1003,afc away fan on saturday all thi stuff about the said chant bollock when he ha the just turn your back on him,negative
3800,my saturday night ha consist of me watch the grey with my puppi while my parent throw a rager whaa liamneesonisbosstho,negative
14301,whi is it so hard to find the user_ment these day went to store for the castl cover issu none will search again tomorrow,negative
12884,game of the nlc and a rematch of the nfc championship game tomorrow gonna be cuuhraaze,neutral
1874,jame hall live in indianapoli dec.8th christ church tix just be there,neutral
5185,user_ment the heat game may cost alot more and plu i would rather see austin river play,neutral
3270,never start work on your dream and goal tomorrow tomorrow never come if it mean anyth to act now getafterit,positive
13953,user_ment i had vick and need an upgrad vick may get jen a back up again soon i thought it wa a win for me,positive
12157,user_ment key fl yay just ur neighbor lisa a sip n a hop away emo_po alway watch rhom,positive
