,predicted,actual
0,negative,positive
1,positive,positive
2,neutral,neutral
3,negative,negative
4,neutral,neutral
5,positive,positive
6,neutral,neutral
7,neutral,positive
8,positive,positive
9,neutral,neutral
10,positive,positive
11,neutral,neutral
12,neutral,negative
13,neutral,positive
14,neutral,negative
15,neutral,positive
16,negative,negative
17,neutral,positive
18,positive,positive
19,positive,positive
20,negative,positive
21,neutral,neutral
22,neutral,positive
23,positive,positive
24,neutral,neutral
25,neutral,positive
26,positive,positive
27,negative,negative
28,neutral,positive
29,neutral,positive
30,positive,neutral
31,neutral,negative
32,positive,positive
33,positive,negative
34,neutral,neutral
35,neutral,neutral
36,neutral,neutral
37,positive,negative
38,positive,positive
39,positive,neutral
40,positive,positive
41,negative,negative
42,neutral,neutral
43,positive,negative
44,negative,negative
45,neutral,neutral
46,neutral,neutral
47,neutral,neutral
48,negative,negative
49,negative,negative
50,neutral,neutral
51,negative,negative
52,neutral,positive
53,neutral,neutral
54,neutral,positive
55,positive,positive
56,neutral,negative
57,positive,positive
58,neutral,neutral
59,positive,neutral
60,positive,positive
61,neutral,positive
62,negative,neutral
63,neutral,positive
64,neutral,positive
65,neutral,positive
66,neutral,positive
67,neutral,negative
68,positive,positive
69,positive,positive
70,neutral,neutral
71,negative,positive
72,neutral,neutral
73,neutral,neutral
74,positive,positive
75,positive,positive
76,negative,positive
77,negative,negative
78,neutral,neutral
79,negative,negative
80,neutral,negative
81,negative,neutral
82,positive,positive
83,neutral,positive
84,neutral,neutral
85,positive,positive
86,negative,neutral
87,neutral,neutral
88,negative,neutral
89,positive,positive
90,positive,positive
91,positive,positive
92,positive,positive
93,neutral,neutral
94,positive,positive
95,negative,neutral
96,neutral,positive
97,positive,positive
98,negative,positive
99,neutral,neutral
100,positive,positive
101,positive,positive
102,neutral,neutral
103,positive,positive
104,neutral,negative
105,neutral,positive
106,positive,positive
107,positive,positive
108,positive,negative
109,neutral,neutral
110,neutral,neutral
111,positive,negative
112,positive,positive
113,positive,positive
114,negative,neutral
115,positive,positive
116,positive,neutral
117,positive,negative
118,neutral,neutral
119,positive,neutral
120,negative,negative
121,neutral,neutral
122,negative,neutral
123,positive,positive
124,positive,positive
125,negative,negative
126,neutral,neutral
127,positive,positive
128,neutral,negative
129,positive,positive
130,negative,negative
131,negative,neutral
132,neutral,positive
133,positive,positive
134,neutral,neutral
135,negative,positive
136,negative,positive
137,positive,neutral
138,positive,positive
139,neutral,neutral
140,positive,positive
141,negative,neutral
142,neutral,neutral
143,neutral,neutral
144,negative,negative
145,positive,positive
146,positive,positive
147,negative,neutral
148,positive,neutral
149,neutral,neutral
150,neutral,neutral
151,neutral,neutral
152,negative,negative
153,neutral,neutral
154,neutral,neutral
155,neutral,neutral
156,positive,positive
157,neutral,positive
158,positive,neutral
159,neutral,neutral
160,neutral,neutral
161,neutral,positive
162,neutral,positive
163,neutral,positive
164,positive,positive
165,positive,positive
166,positive,positive
167,neutral,neutral
168,negative,neutral
169,neutral,neutral
170,neutral,neutral
171,positive,positive
172,neutral,neutral
173,neutral,positive
174,neutral,neutral
175,neutral,neutral
176,positive,positive
177,positive,positive
178,neutral,positive
179,neutral,positive
180,positive,positive
181,neutral,neutral
182,positive,positive
183,neutral,negative
184,negative,neutral
185,positive,positive
186,neutral,positive
187,neutral,positive
188,positive,positive
189,positive,positive
190,neutral,neutral
191,neutral,neutral
192,neutral,negative
193,neutral,neutral
194,neutral,positive
195,positive,positive
196,negative,positive
197,positive,neutral
198,neutral,neutral
199,neutral,neutral
200,positive,positive
201,neutral,neutral
202,neutral,positive
203,neutral,positive
204,neutral,neutral
205,positive,neutral
206,neutral,neutral
207,neutral,neutral
208,neutral,neutral
209,positive,neutral
210,positive,positive
211,positive,positive
212,neutral,positive
213,neutral,positive
214,neutral,negative
215,neutral,neutral
216,positive,neutral
217,positive,positive
218,positive,neutral
219,negative,negative
220,positive,positive
221,neutral,neutral
222,neutral,negative
223,positive,positive
224,positive,positive
225,neutral,neutral
226,neutral,neutral
227,neutral,neutral
228,positive,neutral
229,positive,positive
230,neutral,neutral
231,neutral,neutral
232,positive,positive
233,neutral,neutral
234,neutral,positive
235,neutral,positive
236,positive,negative
237,negative,negative
238,negative,negative
239,neutral,neutral
240,positive,positive
241,positive,positive
242,positive,positive
243,neutral,neutral
244,positive,neutral
245,neutral,neutral
246,negative,negative
247,positive,positive
248,positive,positive
249,neutral,negative
250,negative,negative
251,neutral,neutral
252,positive,neutral
253,negative,positive
254,neutral,neutral
255,negative,positive
256,positive,positive
257,positive,positive
258,neutral,neutral
259,neutral,positive
260,neutral,positive
261,negative,positive
262,positive,positive
263,positive,positive
264,neutral,neutral
265,positive,positive
266,neutral,neutral
267,negative,negative
268,neutral,positive
269,positive,positive
270,negative,negative
271,neutral,neutral
272,neutral,neutral
273,neutral,positive
274,neutral,positive
275,neutral,neutral
276,neutral,negative
277,neutral,positive
278,neutral,neutral
279,negative,negative
280,negative,positive
281,neutral,neutral
282,positive,positive
283,positive,positive
284,neutral,positive
285,positive,positive
286,neutral,negative
287,positive,positive
288,neutral,neutral
289,negative,negative
290,neutral,neutral
291,neutral,negative
292,positive,neutral
293,neutral,positive
294,neutral,positive
295,neutral,neutral
296,neutral,positive
297,positive,negative
298,negative,positive
299,neutral,neutral
300,positive,positive
301,neutral,neutral
302,positive,positive
303,neutral,neutral
304,neutral,neutral
305,positive,neutral
306,negative,negative
307,neutral,neutral
308,neutral,neutral
309,positive,positive
310,negative,neutral
311,positive,positive
312,positive,neutral
313,positive,positive
314,positive,neutral
315,neutral,positive
316,neutral,neutral
317,positive,positive
318,neutral,neutral
319,positive,positive
320,positive,positive
321,neutral,neutral
322,neutral,positive
323,neutral,positive
324,neutral,neutral
325,positive,positive
326,neutral,positive
327,positive,positive
328,neutral,negative
329,negative,negative
330,positive,positive
331,negative,positive
332,neutral,neutral
333,positive,neutral
334,positive,neutral
335,positive,positive
336,negative,negative
337,neutral,neutral
338,positive,neutral
339,positive,positive
340,positive,positive
341,positive,neutral
342,negative,positive
343,neutral,positive
344,neutral,neutral
345,neutral,neutral
346,positive,negative
347,positive,positive
348,negative,negative
349,positive,neutral
350,neutral,positive
351,positive,neutral
352,positive,neutral
353,neutral,neutral
354,positive,positive
355,positive,positive
356,positive,positive
357,neutral,neutral
358,neutral,positive
359,neutral,positive
360,positive,positive
361,positive,positive
362,positive,positive
363,neutral,neutral
364,positive,positive
365,neutral,positive
366,neutral,positive
367,neutral,neutral
368,positive,positive
369,neutral,neutral
370,neutral,positive
371,negative,negative
372,negative,negative
373,neutral,positive
374,neutral,neutral
375,negative,negative
376,neutral,neutral
377,neutral,neutral
378,positive,positive
379,negative,negative
380,neutral,neutral
381,neutral,negative
382,positive,positive
383,positive,positive
384,negative,neutral
385,neutral,positive
386,positive,positive
387,neutral,neutral
388,neutral,positive
389,negative,negative
390,neutral,negative
391,neutral,negative
392,positive,positive
393,neutral,neutral
394,neutral,neutral
395,positive,positive
396,negative,neutral
397,neutral,neutral
398,positive,neutral
399,neutral,neutral
400,negative,negative
401,positive,neutral
402,neutral,positive
403,neutral,neutral
404,neutral,negative
405,neutral,neutral
406,negative,positive
407,neutral,negative
408,positive,neutral
409,neutral,neutral
410,positive,positive
411,negative,negative
412,positive,negative
413,neutral,negative
414,positive,neutral
415,neutral,neutral
416,positive,negative
417,negative,negative
418,neutral,positive
419,neutral,positive
420,negative,neutral
421,neutral,negative
422,neutral,neutral
423,positive,positive
424,positive,positive
425,negative,negative
426,negative,negative
427,neutral,neutral
428,neutral,positive
429,negative,neutral
430,neutral,negative
431,neutral,negative
432,positive,positive
433,positive,positive
434,neutral,neutral
435,neutral,positive
436,neutral,neutral
437,neutral,neutral
438,positive,negative
439,negative,negative
440,neutral,positive
441,neutral,neutral
442,positive,positive
443,positive,positive
444,neutral,positive
445,neutral,neutral
446,positive,negative
447,neutral,neutral
448,neutral,neutral
449,neutral,neutral
450,neutral,negative
451,negative,negative
452,neutral,positive
453,positive,positive
454,neutral,neutral
455,positive,positive
456,neutral,negative
457,negative,negative
458,neutral,positive
459,negative,negative
460,positive,positive
461,positive,positive
462,positive,positive
463,neutral,neutral
464,positive,positive
465,positive,positive
466,neutral,negative
467,negative,negative
468,positive,positive
469,neutral,negative
470,negative,positive
471,neutral,negative
472,negative,positive
473,neutral,neutral
474,positive,positive
475,positive,positive
476,positive,positive
477,neutral,positive
478,neutral,positive
479,positive,neutral
480,neutral,positive
481,positive,positive
482,neutral,positive
483,negative,negative
484,neutral,positive
485,neutral,neutral
486,negative,neutral
487,neutral,neutral
488,negative,negative
489,positive,positive
490,positive,positive
491,positive,positive
492,neutral,neutral
493,positive,positive
494,negative,negative
495,positive,positive
496,negative,positive
497,neutral,positive
498,neutral,neutral
499,positive,positive
500,neutral,positive
501,neutral,neutral
502,positive,neutral
503,positive,positive
504,neutral,neutral
505,positive,positive
506,positive,positive
507,neutral,neutral
508,negative,positive
509,positive,positive
510,neutral,negative
511,negative,positive
512,positive,positive
513,neutral,negative
514,neutral,neutral
515,positive,positive
516,neutral,positive
517,positive,positive
518,negative,negative
519,neutral,neutral
520,neutral,neutral
521,neutral,neutral
522,neutral,neutral
523,negative,positive
524,neutral,neutral
525,neutral,neutral
526,neutral,neutral
527,positive,neutral
528,positive,neutral
529,positive,positive
530,positive,neutral
531,neutral,positive
532,negative,negative
533,positive,neutral
534,positive,positive
535,positive,positive
536,neutral,positive
537,neutral,positive
538,neutral,neutral
539,neutral,neutral
540,positive,positive
541,neutral,positive
542,neutral,neutral
543,neutral,neutral
544,positive,positive
545,positive,neutral
546,neutral,neutral
547,positive,positive
548,neutral,negative
549,neutral,neutral
550,neutral,positive
551,neutral,positive
552,positive,positive
553,neutral,positive
554,neutral,neutral
555,neutral,neutral
556,neutral,neutral
557,neutral,neutral
558,neutral,positive
559,neutral,positive
560,neutral,neutral
561,neutral,neutral
562,positive,positive
563,neutral,negative
564,neutral,neutral
565,neutral,neutral
566,positive,positive
567,positive,positive
568,positive,positive
569,neutral,neutral
570,neutral,neutral
571,positive,positive
572,positive,positive
573,negative,positive
574,neutral,positive
575,positive,positive
576,neutral,neutral
577,positive,positive
578,positive,positive
579,positive,positive
580,neutral,positive
581,neutral,neutral
582,positive,positive
583,neutral,positive
584,neutral,neutral
585,positive,neutral
586,neutral,neutral
587,positive,positive
588,neutral,neutral
589,neutral,neutral
590,negative,negative
591,positive,neutral
592,neutral,negative
593,positive,positive
594,neutral,positive
595,negative,neutral
596,positive,positive
597,positive,negative
598,negative,negative
599,negative,negative
600,neutral,positive
601,neutral,neutral
602,positive,positive
603,negative,negative
604,neutral,neutral
605,negative,negative
606,positive,positive
607,negative,positive
608,neutral,positive
609,neutral,negative
610,positive,positive
611,positive,positive
612,positive,positive
613,positive,neutral
614,negative,neutral
615,negative,negative
616,negative,negative
617,positive,positive
618,neutral,neutral
619,positive,positive
620,negative,positive
621,neutral,neutral
622,neutral,negative
623,neutral,neutral
624,negative,negative
625,positive,positive
626,positive,positive
627,positive,positive
628,neutral,neutral
629,negative,negative
630,positive,neutral
631,neutral,neutral
632,negative,negative
633,neutral,neutral
634,neutral,neutral
635,neutral,neutral
636,negative,negative
637,positive,positive
638,positive,neutral
639,neutral,positive
640,positive,positive
641,positive,positive
642,positive,positive
643,neutral,negative
644,positive,positive
645,negative,neutral
646,negative,negative
647,positive,positive
648,positive,positive
649,negative,positive
650,negative,negative
651,positive,positive
652,positive,neutral
653,negative,positive
654,positive,neutral
655,positive,positive
656,neutral,neutral
657,negative,neutral
658,positive,negative
659,positive,positive
660,positive,positive
661,neutral,negative
662,neutral,neutral
663,neutral,neutral
664,positive,positive
665,neutral,neutral
666,positive,neutral
667,neutral,neutral
668,positive,neutral
669,neutral,neutral
670,positive,positive
671,neutral,neutral
672,negative,neutral
673,neutral,neutral
674,neutral,neutral
675,neutral,negative
676,neutral,positive
677,neutral,neutral
678,neutral,positive
679,neutral,positive
680,negative,neutral
681,positive,positive
682,neutral,neutral
683,positive,positive
684,neutral,neutral
685,neutral,neutral
686,neutral,neutral
687,neutral,positive
688,positive,positive
689,neutral,neutral
690,negative,negative
691,positive,positive
692,negative,negative
693,neutral,neutral
694,neutral,neutral
695,negative,negative
696,neutral,neutral
697,neutral,positive
698,positive,positive
699,positive,neutral
700,neutral,neutral
701,neutral,neutral
702,positive,positive
703,neutral,negative
704,neutral,neutral
705,negative,negative
706,negative,negative
707,positive,neutral
708,neutral,positive
709,positive,positive
710,neutral,neutral
711,neutral,neutral
712,negative,negative
713,neutral,positive
714,neutral,neutral
715,neutral,neutral
716,neutral,positive
717,negative,neutral
718,positive,positive
719,positive,neutral
720,neutral,neutral
721,neutral,positive
722,positive,positive
723,neutral,neutral
724,positive,positive
725,positive,positive
726,neutral,neutral
727,negative,negative
728,positive,positive
729,neutral,positive
730,positive,positive
731,neutral,neutral
732,neutral,neutral
733,positive,neutral
734,neutral,neutral
735,neutral,neutral
736,neutral,neutral
737,positive,positive
738,negative,negative
739,positive,negative
740,positive,neutral
741,positive,positive
742,positive,positive
743,neutral,neutral
744,neutral,neutral
745,positive,neutral
746,neutral,neutral
747,neutral,positive
748,neutral,neutral
749,neutral,positive
750,neutral,neutral
751,positive,positive
752,negative,neutral
753,neutral,negative
754,positive,neutral
755,neutral,neutral
756,positive,neutral
757,negative,positive
758,neutral,neutral
759,positive,positive
760,negative,negative
761,positive,positive
762,neutral,neutral
763,positive,neutral
764,negative,negative
765,negative,negative
766,neutral,positive
767,neutral,positive
768,negative,negative
769,positive,positive
770,neutral,neutral
771,positive,positive
772,neutral,neutral
773,positive,positive
774,positive,positive
775,neutral,neutral
776,negative,negative
777,neutral,positive
778,negative,negative
779,neutral,positive
780,neutral,neutral
781,neutral,neutral
782,negative,negative
783,positive,neutral
784,neutral,positive
785,positive,positive
786,neutral,positive
787,positive,neutral
788,neutral,neutral
789,neutral,neutral
790,positive,positive
791,neutral,neutral
792,negative,positive
793,positive,positive
794,positive,neutral
795,neutral,negative
796,positive,positive
797,positive,positive
798,neutral,negative
799,neutral,neutral
800,neutral,neutral
801,neutral,positive
802,neutral,neutral
803,positive,neutral
804,positive,positive
805,positive,negative
806,positive,positive
807,positive,positive
808,positive,neutral
809,neutral,neutral
810,positive,positive
811,positive,positive
812,neutral,neutral
813,positive,neutral
814,positive,positive
815,positive,positive
816,positive,positive
817,negative,negative
818,positive,positive
819,neutral,positive
820,negative,neutral
821,neutral,neutral
822,positive,positive
823,neutral,neutral
824,positive,positive
825,neutral,positive
826,positive,positive
827,positive,positive
828,positive,positive
829,neutral,neutral
830,neutral,positive
831,negative,negative
832,neutral,positive
833,neutral,negative
834,neutral,neutral
835,positive,positive
836,neutral,neutral
837,neutral,positive
838,neutral,positive
839,positive,positive
840,neutral,neutral
841,neutral,positive
842,positive,positive
843,negative,negative
844,neutral,neutral
845,neutral,positive
846,neutral,negative
847,neutral,neutral
848,negative,negative
849,neutral,positive
850,positive,positive
851,neutral,neutral
852,neutral,neutral
853,neutral,negative
854,positive,positive
855,negative,positive
856,neutral,neutral
857,neutral,positive
858,positive,positive
859,negative,neutral
860,positive,positive
861,positive,positive
862,positive,positive
863,positive,positive
864,neutral,positive
865,negative,positive
866,positive,positive
867,positive,positive
868,positive,positive
869,neutral,neutral
870,negative,negative
871,positive,positive
872,negative,positive
873,positive,positive
874,positive,positive
875,neutral,neutral
876,negative,positive
877,neutral,neutral
878,neutral,neutral
879,neutral,neutral
880,positive,neutral
881,negative,negative
882,neutral,positive
883,positive,positive
884,neutral,neutral
885,neutral,positive
886,neutral,negative
887,neutral,negative
888,neutral,neutral
889,neutral,neutral
890,positive,positive
891,positive,positive
892,neutral,neutral
893,neutral,negative
894,neutral,neutral
895,positive,positive
896,negative,negative
897,neutral,positive
898,positive,negative
899,neutral,neutral
900,neutral,positive
901,positive,positive
902,positive,positive
903,neutral,positive
904,neutral,neutral
905,positive,positive
906,positive,neutral
907,neutral,positive
908,neutral,neutral
909,neutral,neutral
910,positive,positive
911,negative,negative
912,neutral,positive
913,neutral,neutral
